Rank,Hebrew,English,cefr_level,confidence,source
68,לפני,before / in front of / ago,B1,1.0,concordance
69,הן,they (f.),A1,0.721,model_predicted
70,העולם,the world,A1,0.55,model_predicted
71,פי,my mouth / multiplied by,A1,0.433,model_predicted
72,במהלך,during,B1,0.418,model_predicted
73,שלו,his / belongs to him / calm,A1,0.788,model_predicted
74,בה,in her / in it,A1,0.819,model_predicted
75,מאד,very,A1,0.744,model_predicted
76,ניתן,possible / we will give,A2,0.409,model_predicted
77,אז,then,A1,0.579,model_predicted
78,בעל,owner / husband,A2,0.388,model_predicted
79,אחרים,other (m.pl.) / others (m.),A1,0.577,model_predicted
80,דרך,way / road / stepped on (m.s.),A1,0.731,model_predicted
81,ולא,and not / if not,A1,0.569,model_predicted
82,חלק,part / smooth / shared (m.s.),A1,0.578,model_predicted
83,אותה,her / it,A1,0.819,model_predicted
84,בן,son,A1,0.713,model_predicted
85,בני,my son / my sons,A1,0.713,model_predicted
86,אולם,but / hall,A1,0.546,model_predicted
87,אחר,other / after,A1,0.577,model_predicted
88,כמה,how many / how much / some / yearned (m.s.) / yearn (m.s.),A1,0.725,model_predicted
89,המאה,the century / the hundred,A2,0.307,model_predicted
90,החל,started (m.s.) / starting from,A1,0.55,model_predicted
91,נגד,against,B2,0.346,model_predicted
92,אנשי,the people of,A1,0.75,model_predicted
93,אותם,them (m.),A1,0.744,model_predicted
94,כלל,rule / all / included (m.s.),A1,1.0,concordance
95,מנת,a portion of,B2,1.0,concordance
96,כיום,today / nowadays,A1,0.774,model_predicted
97,שונים,different / various (m.pl.),A1,0.672,model_predicted
98,המלחמה,the war,A2,1.0,concordance
99,שנים,years / two,A1,0.821,model_predicted
100,כבר,already,A1,0.634,model_predicted
101,רב,Rabbi // fought (m.s.) / many / much / most / majority,B2,0.304,model_predicted
102,בשל,because of / ripe / cooked (m.s.),A1,0.448,model_predicted
103,בהם,in them (m.),A1,0.744,model_predicted
104,גדול,big / large (m.s.),A1,0.457,model_predicted
105,להם,to them (m.),A1,0.744,model_predicted
106,בעיקר,mainly / principally / especially,B1,0.344,model_predicted
107,אלא,but / only,A1,0.546,model_predicted
108,היום,today,A1,0.774,model_predicted
109,במקום,instead of / in place / in place / in the place / in a place,A2,0.512,model_predicted
110,שהיה,that was (m.s.),A1,0.795,model_predicted
111,וכן,and also,A1,1.0,concordance
112,הרב,the many / the rabbi / the majority,A1,0.618,model_predicted
113,שבו,that in him / that in it,A1,0.795,model_predicted
114,זמן,time,A1,0.757,model_predicted
115,יכול,can (m.s.),A1,0.728,model_predicted
116,להיות,to be,A1,0.357,model_predicted
117,לה,to her,A1,0.819,model_predicted
118,יהודים,Jews,B2,0.313,model_predicted
119,היהודים,the Jews,B2,0.313,model_predicted
120,נוספים,additional (m.pl.),B2,0.28,model_predicted
121,הים,the sea,A1,0.561,model_predicted
122,ללא,without,A2,0.455,model_predicted
123,מקום,place,A1,0.561,model_predicted
124,חיים,life / (could also be a name),A1,1.0,concordance
125,המדינה,the state,A2,0.303,model_predicted
126,הארגון,the organization,C1,0.345,model_predicted
127,אחרי,after,A1,0.511,model_predicted
128,רבות,many (f.) / a lot / fight (f.pl.),A1,0.618,model_predicted
129,שהוא,that he / that is (m),A1,0.795,model_predicted
130,שנה,year / studied (m.s.),A1,0.821,model_predicted
131,בעלי,my husband / the owner(s) of / repentant,A1,0.665,model_predicted
132,מתוך,out of / from,A1,0.469,model_predicted
133,תוך,inside / interior / content,A1,0.547,model_predicted
134,ראש,head,A1,0.517,model_predicted
135,מלחמת,the war of,A2,1.0,concordance
136,אדם,person / man / human being / Adam,A1,1.0,concordance
137,מול,against / in front of,B1,1.0,concordance
138,איש,person / man / husband,A1,1.0,concordance
139,בדרך,on the way / on a way,A1,0.731,model_predicted
140,נוספת,additional (f.s.),B2,0.28,model_predicted
141,שימוש,use,A2,0.369,model_predicted
142,כגון,such as,A1,0.431,model_predicted
143,יום,day / daylight,A1,0.844,model_predicted
144,באמצעות,through / by way of / by,A2,0.332,model_predicted
145,מכן,of that / from then / of you (f.pl.),A1,0.795,model_predicted
146,במשך,during / in the course of,B1,0.418,model_predicted
147,ואף,and also / and even / and nose,A1,1.0,concordance
148,לך,to you / for you (m.s.) / to you / for you (f.s.) / go / walk (m.s. Imperative),A1,0.851,model_predicted
149,האדם,the man / the person,A1,1.0,concordance
150,אתה,you (m.s.),A1,0.851,model_predicted
151,בשם,in the name of / called,A1,1.0,concordance
152,ועל,and on / and about,A1,0.639,model_predicted
153,הממשלה,the government,B2,0.304,model_predicted
154,לכל,to all / to everybody,A1,1.0,concordance
155,תחת,under / beneath / instead of,A2,0.429,model_predicted
156,לעתים,sometimes,A1,0.451,model_predicted
157,הזה,this (m.) / hallucinated (m.s.),A1,0.788,model_predicted
158,מהם,from them / what are (m.pl.),A1,0.672,model_predicted
159,למרות,despite,C1,0.407,model_predicted
160,אמרה,said (f.s.) / phrase / fringe,B1,1.0,concordance
161,עצמו,himself,A2,0.445,model_predicted
162,שנות,the years of,A1,0.821,model_predicted
163,כמעט,almost,A2,0.476,model_predicted
164,אינו,is not / is not here (m.s.),A1,0.569,model_predicted
165,בנוסף,in addition,C1,0.341,model_predicted
166,בידי,in the hands of / in my hand / in my hands,A1,1.0,concordance
167,בעקבות,in the footsteps of / following / as a result of,B1,0.396,model_predicted
168,בעיר,in a city / in the city,A1,0.732,model_predicted
169,לפי,according to / to my mouth,B1,0.344,model_predicted
170,בקרב,among / in a battle / in the battle,B2,0.32,model_predicted
171,כפי,as / my palm / my spoon,A1,0.508,model_predicted
172,המשחק,the game / the one who plays,A1,1.0,concordance
173,מי,who,A1,1.0,concordance
174,רוב,most,A1,0.488,model_predicted
175,עבור,for,A1,0.736,model_predicted
176,ואת,and the / and you (f.s.),A1,0.851,model_predicted
177,בעת,at a time (of) / phobia,A1,0.757,model_predicted
178,ארצות,countries,A1,0.621,model_predicted
179,למשל,for example,A1,0.429,model_predicted
180,הצבא,the army,A2,0.361,model_predicted
181,ההגנה,the defense,B2,0.371,model_predicted
182,כלי,article / dish / vessel / ware / tool,A1,0.707,model_predicted
183,נוסף,additional (m.s.),B2,0.28,model_predicted
184,באזור,in an area / in the area,A2,0.507,model_predicted
185,טוב,good (m.s.),A1,0.76,model_predicted
186,בעולם,in the world,A1,0.55,model_predicted
187,כוחות,powers / forces / strength,B1,0.397,model_predicted
188,בתוך,inside,A1,0.547,model_predicted
189,הארץ,the country / the earth / Israel,A1,0.621,model_predicted
190,פני,the face of / my face,A1,0.671,model_predicted
191,בארץ,in a country / in the country / in Israel,A1,0.621,model_predicted
192,והוא,and he,A1,0.604,model_predicted
193,הדבר,the thing / the object / the item / the matter / the plague,A1,0.733,model_predicted
194,בלבד,only,A1,0.742,model_predicted
195,כוח,power / force / strength,B1,0.397,model_predicted
196,בבית,at home / in the house / in a house / in the house of,A1,0.832,model_predicted
197,מאז,since then,A1,0.351,model_predicted
198,החיים,the life,A1,0.334,model_predicted
199,ימים,days,A1,0.844,model_predicted
200,לאורך,through / along / longitudinally,A2,0.332,model_predicted
201,מים,water,A1,0.751,model_predicted
202,הרבה,many / a lot / (did something) a lot (m.s.),A1,0.618,model_predicted
203,בלתי,not / no / im- / in- / un- / dis- / except,A1,0.569,model_predicted
204,עליו,on him / about him,A1,0.795,model_predicted
205,אביב,spring,A1,0.432,model_predicted
206,מעל,above / over / on top / embezzled (m.s.) / embezzlement / treachery,A2,0.453,model_predicted
207,הגדול,the big / the large (m.s.),A1,0.457,model_predicted
208,אי,island / not / no / im- / in- / un- / dis-,A2,0.383,model_predicted
209,הספר,the book / the border / the barber,A1,0.781,model_predicted
210,פעם,once / once upon a time / beat (m.s.),A1,0.615,model_predicted
211,ראו,saw (m.pl.),A2,0.383,model_predicted
212,בכך,by this,A1,0.788,model_predicted
213,נראה,looks / looked,A1,0.815,model_predicted
214,לבין,and between,A2,0.322,model_predicted
215,ועד,and until / committee / board / and a witness,A1,0.319,model_predicted
216,כנגד,against,B2,0.346,model_predicted
217,רבה,fought (f.s.),B1,0.372,model_predicted
218,שבה,returned (f.s.) / that in her,B1,0.367,model_predicted
219,מדי,too / whenever / as often as / the uniform of,A2,1.0,concordance
220,בסוף,at the end / at the end of,A1,0.621,model_predicted
221,המפלגה,the party (political),A1,1.0,concordance
222,במיוחד,especially,A2,0.417,model_predicted
223,שונות,difference / variation / variance (stat.) / different / various (f.pl.) / miscellaneous,B2,1.0,concordance
224,המים,the water,A1,0.751,model_predicted
225,וגם,and also,A1,1.0,concordance
226,ככל,the more / as far as,A1,0.636,model_predicted
227,שהיו,that were,A1,0.795,model_predicted
228,בתקופה,in a period / in an era / in the period / in the era,A2,0.396,model_predicted
229,אצל,in the possession of / at / near,B2,0.357,model_predicted
230,עדיין,still / yet,A2,0.444,model_predicted
231,השנים,the years,A1,0.821,model_predicted
232,לכך,to it,A2,0.253,model_predicted
233,יהודי,Jew / Jewish (m.s.),B2,0.313,model_predicted
234,ערך,value / edited / arranged / held (m.s.),B2,0.31,model_predicted
235,עכשיו,now,A1,0.694,model_predicted
236,החלו,started (pl.),A1,0.55,model_predicted
237,בזמן,at the time [of] / on time,A1,0.757,model_predicted
238,הכוחות,the powers / the forces / the strength,B1,0.397,model_predicted
239,עץ,tree / wood,A1,0.766,model_predicted
240,חיל,soldier (m) / corps / forces / success / fear,A2,0.408,model_predicted
241,אפשר,possible (adv.) / enabled / facilitated (m.s.),A2,0.409,model_predicted
242,בעוד,while,A1,0.621,model_predicted
243,בתי,the houses of / the homes of / my daughter,A1,0.817,model_predicted
244,שלה,hers,A1,0.708,model_predicted
245,האי,the island,A2,0.383,model_predicted
246,באותה,in the same / at the same (f.s.),A1,0.685,model_predicted
247,גדולה,big / large (f.s.),A1,0.457,model_predicted
248,הגיע,arrived (m.s.),A2,0.398,model_predicted
249,יחד,together,A1,0.704,model_predicted
250,למעשה,actually / in fact,A2,0.388,model_predicted
251,צבא,army,A2,0.361,model_predicted
252,מעט,a little / a few,A1,0.804,model_predicted
253,ועוד,and more / and still / plus,A2,1.0,concordance
254,שלהם,theirs,A1,0.709,model_predicted
255,עלי,on me / about me / go up (f.s. Imperative),A1,0.639,model_predicted
256,ביניהם,between them (m.),A2,0.322,model_predicted
257,והן,and they (f.),A1,0.721,model_predicted
258,ים,sea,A1,0.561,model_predicted
259,ובין,and between,A2,0.322,model_predicted
260,הכל,everything,A1,0.679,model_predicted
261,הרי,here is / you see / the mountains of,A1,0.775,model_predicted
262,אינם,are not / are not here (m.pl.),A1,0.786,model_predicted
263,בתחילת,at the beginning of,A2,0.375,model_predicted
264,האדמה,the land / the earth / the soil / the ground,A2,0.429,model_predicted
265,המשפט,the sentence / the trial,A1,0.521,model_predicted
266,בצורה,in a way / in a shape / in a form / in the way / in the shape / in the form,A1,0.731,model_predicted
267,סוף,end,A1,0.621,model_predicted
268,זכה,won (m.s.) / pure (f.),A2,0.499,model_predicted
269,מחוץ,outside of / crushed,A1,0.654,model_predicted
270,בתקופת,in the time of / in the period of / in the era of,A1,0.757,model_predicted
271,פה,here / mouth,A1,0.775,model_predicted
272,דומה,similar,A2,0.375,model_predicted
273,במסגרת,in a frame / in a framework / in the frame / in the framework,B1,0.295,model_predicted
274,האימפריה,the empire,C1,0.533,model_predicted
275,אנשים,people,A1,0.75,model_predicted
276,מערכת,system / editorial board,B1,1.0,concordance
277,אולי,Maybe / perhaps,A1,0.459,model_predicted
278,השמש,the sun / the attendant,A1,0.76,model_predicted
279,ספר,book / border / barber / counted (m.s.) / told (m.s.),A1,0.781,model_predicted
280,עניינים,matters,A2,0.369,model_predicted
281,שהיא,that she / that is (f.s.),A1,0.795,model_predicted
282,אינה,is not / is not here (f.s.),A1,0.569,model_predicted
283,שנת,year [X] / year of,A1,0.821,model_predicted
284,שלי,mine,A1,0.773,model_predicted
285,לראות,to see,A1,0.805,model_predicted
286,ולכן,and therefore / and to/for you (f.pl.),B2,0.363,model_predicted
287,בשנים,in the years / in years,A1,0.821,model_predicted
288,כתב,writing / wrote (m.s.) / reporter,B1,1.0,concordance
289,הקרב,the battle,B2,0.382,model_predicted
290,קטן,small / little (m.s.),A1,0.678,model_predicted
291,ביום,on [day / date] / per day / during the day,A1,0.844,model_predicted
292,מפני,because,A1,0.448,model_predicted
293,לשם,[to] there / [to/for] the name / for the sake of / opal,A1,1.0,concordance
294,תוכן,content,A2,0.414,model_predicted
295,הכוח,the power / the force / the strength,B1,0.397,model_predicted
296,הגיעו,arrived (pl.),A2,0.398,model_predicted
297,בשנות,in the years of,A1,0.821,model_predicted
298,בארצות,in countries / in the countries,A1,0.621,model_predicted
299,הדרך,the way / the road,A1,0.731,model_predicted
300,חיילים,soldiers,A2,0.408,model_predicted
301,תוכנית,program / plan,A2,0.436,model_predicted
302,הסרט,the movie / the ribbon/strip,A1,0.802,model_predicted
303,שוב,again / return (m.s. imperative),A1,0.404,model_predicted
304,עקב,due to / because of / followed (m.s.) / heel,A1,0.631,model_predicted
305,שהם,that they (m.) / that are (m.pl.),A1,0.795,model_predicted
306,נעשה,done / we will do,A1,0.59,model_predicted
307,לקראת,towards,B2,0.37,model_predicted
308,בהן,in them (f.),A1,0.744,model_predicted
309,הזמן,the time,A1,0.757,model_predicted
310,מיליון,million,A2,1.0,concordance
311,המלך,the king,A2,0.422,model_predicted
312,שכן,neighbor (m.s.) / lived / dwelt (m.s.),A2,0.346,model_predicted
313,יהיה,will be (m.s.),A1,0.714,model_predicted
314,המועצות,council of,A2,0.331,model_predicted
315,ממנו,from him,A1,0.672,model_predicted
316,קשה,difficult / hard (m.s.) / difficult / hard (f.s.),A2,0.394,model_predicted
317,עבר,passed / crossed / went through (m.s.),A2,0.41,model_predicted
318,אחרות,other (f.pl.) / others,A1,0.577,model_predicted
319,השלטון,the authority / the reign / the government,C1,0.488,model_predicted
320,צריך,need / necessary / should / must,A1,0.739,model_predicted
321,חידק,bacterium,B2,0.388,model_predicted
322,היהודית,the Jewish (f.s.),A1,0.351,model_predicted
323,נמצא,is found / is [at] (m.s.),A1,0.403,model_predicted
324,הר,mountain,A2,0.517,model_predicted
325,מבנה,structure,C1,0.409,model_predicted
326,החדשה,the new (f.s.),A1,0.682,model_predicted
327,מכל,from all,A1,1.0,concordance
328,בפני,in front of / in the presence of / in front of me / in my presence,B1,1.0,concordance
329,הקמת,(the) establishment of,C1,0.573,model_predicted
330,אנחנו,we,A1,0.819,model_predicted
331,קבוצת,group of,A1,0.462,model_predicted
332,שבהם,that in them (m.),A1,0.795,model_predicted
333,כולל,includes / including,A2,0.443,model_predicted
334,חיצוניים,external (m.pl.),B1,0.354,model_predicted
335,ימי,marine (m.s.),B1,0.319,model_predicted
336,הביניים,the mid / the middle / the intermediate,B1,0.349,model_predicted
337,ברחבי,all over,A1,1.0,concordance
338,למעלה,up / upward,C1,0.442,model_predicted
339,מדינות,states,A2,0.303,model_predicted
340,היהודי,the Jew / the Jewish (m.s.),B2,0.313,model_predicted
341,יחסית,relatively,C1,0.529,model_predicted
342,התנועה,the movement / the motion / the traffic,B1,0.461,model_predicted
343,האלים,the gods,A2,0.421,model_predicted
344,מינים,kinds / species / genders,A1,1.0,concordance
345,אליו,to him / to it (m.s.),A1,0.795,model_predicted
346,החברה,the friend (f.s.) / the company / the society,A1,0.768,model_predicted
347,ארץ,country / land / earth,A1,0.621,model_predicted
348,המבנה,the structure,C1,0.409,model_predicted
349,הבית,the house / the home,A1,0.817,model_predicted
350,המכונה,the machine / that is called / aka (m.s.) / that is called / aka (f.s.),A2,0.49,model_predicted
351,העם,the people,A1,0.75,model_predicted
352,משום,because,A1,0.448,model_predicted
353,הצליחו,succeeded (pl.),B2,0.354,model_predicted
354,המרד,the rebellion,C1,1.0,concordance
355,לתוך,into,A2,0.293,model_predicted
356,יכולים,can (m.pl.),A1,0.728,model_predicted
357,סביב,around,A2,0.358,model_predicted
358,מותו,his death,A1,0.788,model_predicted
359,לב,heart,A1,0.421,model_predicted
360,עתה,now,A1,0.694,model_predicted
361,מעבר,transition / pass / beyond / across,C1,0.422,model_predicted
362,לדוגמה,for example,A1,0.429,model_predicted
363,האם,if / is it / whether / the mother,B1,0.347,model_predicted
364,הצליח,succeeded (m.s.),B2,0.354,model_predicted
365,מחדש,from the beginning / renews / innovates (m.s.),A1,0.672,model_predicted
366,לארץ,to the country / to Israel,A1,0.621,model_predicted
367,העונה,the season / this season / that/who answers (f.s.),A1,1.0,concordance
368,ברית,pact / alliance / covenant / circumcision,B2,0.44,model_predicted
369,לנו,for us / to us / slept overnight (pl.),B1,0.316,model_predicted
370,קישורים,links / the connections / the bindings,B1,1.0,concordance
371,האלה,these / the goddess,A1,0.728,model_predicted
372,מזה,from this (m.),A1,0.672,model_predicted
373,ראשי,main / principal,A2,0.498,model_predicted
374,עמד,stood / was about to / endured / succeeded / insisted on (m.s.),B1,0.399,model_predicted
375,תל,hill,A2,0.421,model_predicted
376,בצפון,in the north / in the north of,A1,0.444,model_predicted
377,לכן,therefore / to/for you (f.pl.),B2,0.363,model_predicted
378,ההנדסה,the engineering,B2,0.31,model_predicted
379,מבלי,without,A2,0.455,model_predicted
380,לרוב,mostly / to/for the majority,A2,0.515,model_predicted
381,שבין,that is between / that is among,A1,0.795,model_predicted
382,יד,hand,A1,1.0,concordance
383,פעולה,action / operation / deed / transaction,B1,0.468,model_predicted
384,גוף,body,A1,0.568,model_predicted
385,יחידות,unit / squad / only / single (f.s.),A2,0.277,model_predicted
386,שאני,that I,A1,0.795,model_predicted
387,בא,coming / came (m.s.),A1,0.66,model_predicted
388,ידוע,known,A1,0.636,model_predicted
389,ולאחר,and after / and to another / and to be late / and to the other,A1,0.511,model_predicted
390,תקופה,period / era,A2,0.396,model_predicted
391,תקופת,period of / era of,A2,0.396,model_predicted
392,אפילו,even / although,A2,0.407,model_predicted
393,למצוא,to find,A1,0.583,model_predicted
394,קודם,earlier / former / previous (m.s.),A1,0.475,model_predicted
395,לצד,to a side / to the [right/left] / next to / to the side,A2,0.47,model_predicted
396,הקהילה,the community,B1,0.337,model_predicted
397,הייתי,I was,A2,0.447,model_predicted
398,במאה,in a hundred / in the century,A1,0.461,model_predicted
399,הגוף,the body,A1,0.568,model_predicted
400,מבחינה,from an aspect / observes (f.s.),A1,0.672,model_predicted
401,יצא,went out / came out (m.s.),A1,0.701,model_predicted
402,שונה,different (m.s.),A1,0.672,model_predicted
403,שהייתה,that/who was / that she was,A1,1.0,concordance
404,אבן,stone,A2,0.46,model_predicted
405,לראשונה,for the first time,A1,0.686,model_predicted
406,למען,for,A1,0.736,model_predicted
407,מזון,food,A1,0.838,model_predicted
408,הפך,inverted / converted / turned / become / transformed (m.s.),C1,0.55,model_predicted
409,קו,line,A1,0.553,model_predicted
410,הבחירות,the elections / the selections,B1,0.255,model_predicted
411,בניין,building,A1,0.534,model_predicted
412,שושלת,dynasty,C1,0.557,model_predicted
413,רקע,background,A2,0.409,model_predicted
414,כזה,like this / such,A1,0.662,model_predicted
415,גדולים,big / large (m.pl.),A1,0.457,model_predicted
416,קיבל,received / accepted (m.s.),B1,0.448,model_predicted
417,הספינה,the ship,A2,0.431,model_predicted
418,עלה,went up / climbed / increased / immigrated (to Israel) (m.s.) / leaf,A1,0.701,model_predicted
419,יכולה,can (f.s.),A1,0.728,model_predicted
420,לבסוף,finally / eventually,A2,0.344,model_predicted
421,אזור,area / region / zone,B1,1.0,concordance
422,משנת,from the year [X] / from the year of,A1,0.672,model_predicted
423,השימוש,the use,A2,0.369,model_predicted
424,הפעם,this time,A1,0.788,model_predicted
425,מיד,immediately,B1,0.367,model_predicted
426,מין,kind / species / gender / sex,B1,1.0,concordance
427,וכי,if,A2,0.411,model_predicted
428,אחרת,other (f.s.) / otherwise,A1,0.577,model_predicted
429,השנה,this year,A1,0.788,model_predicted
430,אותי,me,A1,0.803,model_predicted
431,איך,how,A1,0.725,model_predicted
432,המשיך,continued (m.s.),B2,0.358,model_predicted
433,בעזרת,with the help of,A1,0.565,model_predicted
434,כתוצאה,as a result,A2,0.36,model_predicted
435,נשק,weapon / kissed (m.s.),B1,0.354,model_predicted
436,איזה,which / what (m.),A1,0.768,model_predicted
437,האחרון,the last (m.s.),A1,0.685,model_predicted
438,הגדולה,the big / the large (f.s.),A1,0.457,model_predicted
439,ליד,near / next to,A2,0.398,model_predicted
440,כלומר,meaning,A2,0.281,model_predicted
441,שום,nothing / garlic,A1,0.571,model_predicted
442,פחות,less / minus / inferior / lesser (m.s.),A2,1.0,concordance
443,בראש,at the top / leading / in a head / at the top / leading / in the head,A2,0.503,model_predicted
444,דם,blood,A2,0.403,model_predicted
445,חברת,friend of / member of (f.s.) / company of,A1,0.768,model_predicted
446,פעמים,times,A1,0.757,model_predicted
447,השם,the name / God,A1,1.0,concordance
448,להגיע,to arrive,B1,0.39,model_predicted
449,החלה,started (f.s.),A1,0.55,model_predicted
450,חומרים,materials,B1,0.363,model_predicted
451,היטב,well / properly,A1,0.773,model_predicted
452,העליון,the upper / the top / the utmost / the superior (m.s.),B1,0.344,model_predicted
453,קרב,battle / getting close / approaches (m.s.),B2,0.382,model_predicted
454,נוספות,additional (f.pl.),B2,0.28,model_predicted
455,הקיסר,the Caesar,C1,0.428,model_predicted
456,האוויר,the air,A2,0.434,model_predicted
457,מרכז,center,A1,0.505,model_predicted
458,רוצה,wants (m.s.),A1,0.797,model_predicted
459,מלחמה,war,A2,1.0,concordance
460,מכיוון,from the direction of / from adjustment / from tuning / because,A1,0.672,model_predicted
461,שיש,that there is,A1,0.795,model_predicted
462,כה,so / this way,A1,0.788,model_predicted
463,מאת,from / by,A1,0.672,model_predicted
464,מטרים,meters,A2,0.605,model_predicted
465,היער,the forest,A1,0.401,model_predicted
466,הלא,is it not / indeed,A1,0.569,model_predicted
467,עליה,on her / about her,A1,0.819,model_predicted
468,מצב,state / situation,B1,1.0,concordance
469,הכנסת,the Knesset (the Israeli parliament),C1,0.433,model_predicted
470,לעומת,compared with / against / opposite,B2,0.367,model_predicted
471,תנועת,movement of / motion of / traffic of,B1,0.461,model_predicted
472,פעולות,actions / operations / deeds / transactions,B1,0.468,model_predicted
473,מעולם,never,A2,0.401,model_predicted
474,תמיד,always,A2,0.439,model_predicted
475,מאות,hundreds / centuries,A1,0.461,model_predicted
476,שמו,placed / put (pl.) / his name,A1,1.0,concordance
477,מצד,from a side / from the [right/left],A1,0.672,model_predicted
478,בשלב,at a stage / at a phase,B2,1.0,concordance
479,בלי,without,A2,0.455,model_predicted
480,רוח,wind / spirit / ghost,A1,1.0,concordance
481,חדש,new (m.s.),A1,0.682,model_predicted
482,היחיד,the only / the single / the individual,A1,0.742,model_predicted
483,בהמשך,Later / later on,A1,0.689,model_predicted
484,ארגון,organization,C1,0.345,model_predicted
485,לעשות,to do,A1,0.546,model_predicted
486,חדשים,new (m.pl.),A1,0.682,model_predicted
487,קצר,short (m.s.),A1,0.784,model_predicted
488,בעלות,ownership,C1,0.458,model_predicted
489,בניגוד,in contrast / contrary to,C1,0.429,model_predicted
490,פעילות,activity,B1,0.432,model_predicted
491,דגל,flag,A2,0.5,model_predicted
492,מסוימים,specific (m.pl.),B1,0.373,model_predicted
493,במשחק,in a game / in the game,A1,0.645,model_predicted
494,במקביל,in parallel / simultaneously,C1,0.452,model_predicted
495,בעבר,in the past,A2,0.413,model_predicted
496,בסיס,basis / base,B2,1.0,concordance
497,לבית,to the house of / to the home of / to the house / to the home,A1,0.817,model_predicted
498,החדש,the new (m.s.),A1,0.682,model_predicted
499,להשתמש,to use,A2,0.369,model_predicted
500,במספר,at a number,A1,0.734,model_predicted
501,הקבוצה,the group,A1,0.462,model_predicted
502,קיים,exists (m.s.),C1,0.474,model_predicted
503,המקום,the place,A1,0.561,model_predicted
504,וכך,and so,A1,0.332,model_predicted
505,ואילו,whereas,C1,0.418,model_predicted
506,הנה,here is / [to] here / is (f.s.),A1,0.775,model_predicted
507,מאנית,manic (f.s.),C1,0.467,model_predicted
508,היישוב,the settlement / the civilization,C1,0.501,model_predicted
509,הזקנה,the old (f.s.) / the old age,A1,0.717,model_predicted
510,הנמלה,the ant,A2,0.476,model_predicted
511,ואני,and I / and me,A1,0.403,model_predicted
512,נכון,correct / ready (m.s.),A1,0.444,model_predicted
513,העץ,the tree / the wood,A1,0.766,model_predicted
514,סמים,drugs,A2,0.417,model_predicted
515,מאוחר,late,A1,0.812,model_predicted
