word,transliteration,meaning,part_of_speech,root,binyan,cefr_level
מצרים,mtzrym,Egypt,propn,,,A1
ניסיון,nysyvn,experience experience,noun,,,A1
נקודה,nkvdh,Point of view,noun,,,A1
עורך,'vrch,The editor.,noun,,,A1
צעיר,tz'yr,Young,noun,,,A1
שירות,shyrvt,Service is provided.,noun,,,A1
שלם,shlm,The whole thing.,adj,,,A1
אפשרות,'fshrvt,There is a possibility.,noun,,,A1
דף,df,The page is full of pages.,noun,,,A1
זוג,zvg,A couple is married.,noun,,,A1
יחסית,ychsyt,Relatively,adv,,,A1
ביצע,vytz',Execute the execution.,verb,ב-צ-ע,PIEL,A1
הפך,hfch,It's been turned around.,verb,ה-פ-כ,PAAL,A1
מכירה,mchyrh,Knowledge of each other.,noun,,,A1
מראש,mr'sh,In advance,adv,,,A1
נשק,nshk,Weapons and weapons.,noun,,,A1
סעיף,s'yf,Article of the article,noun,,,A1
פרי,fry,Fruit is fruit.,propn,,,A1
שאף,sh'f,I've never been to any of them.,adv,,,A1
שבין,shvyn,Between the two.,adv,,,A1
שלח,shlch,Send them a message.,verb,,,A1
אגב,'gv,"And by the way, it's a good idea.",adv,,,A1
אדום,'dvm,Red Red,adj,,,A1
ביקורת,vykvrt,Criticism is critical.,noun,,,A1
ברית,vryt,The covenant of the covenant.,noun,,,A1
גרוע,grv',It's worse.,adj,,,A1
היי,hyy,"Hey, hey, hey, hey, hey, hey, hey, hey, hey,",propn,,,A1
זונה,zvnh,A whore.,propn,,,A1
חומר,chvmr,The material.,noun,,,A1
יוף,yvf,"I mean, it's a lot of fun.",noun,,,A1
גרם,grm,A gram is a gram.,verb,ג-ר-מ,PAAL,A1
ישן,yshn,It's a sleeping bag.,verb,י-ש-נ,PAAL,A1
מדיניות,mdynyvt,Policy  Policy,noun,,,A1
מוצא,mvtz',The source is found.,noun,,,A1
מוקדם,mvkdm,It's too early.,adj,,,A1
צדק,tzdk,Justice and justice.,verb,צ-ד-ק,PAAL,A1
רחוק,rchvk,It's a long way off.,adj,,,A1
שדה,shdh,Fields of interest.,noun,,,A1
שיעור,shy'vr,Lesson to be learned.,noun,,,A1
שני,shny,Seconds  Seconds,adj,,,A1
תשובה,tshvvh,The answer is,noun,,,A1
אכפת,'chft,I care about you.,adv,,,A1
דור,dvr,Generations of people.,noun,,,A1
זהב,zhv,Gold is gold.,noun,,,A1
טובה,tvvh,Very good.,noun,,,A1
לאחרונה,l'chrvnh,Recently,adv,,,A1
בחר,vchr,Choose the right one.,verb,ב-ח-ר,PAAL,A1
להלן,lhln,Below is the list.,adv,,,A1
לחץ,lchtz,The pressure is on.,noun,,,A2
מאי,m'y,May is the month of May.,propn,,,A2
מילה,mylh,word for word,noun,,,A2
נגמר,ngmr,It's over.,verb,נ-ג-ר,NIFAL,A2
נעים,n'ym,It's nice to meet you.,propn,,,A2
סיכוי,sychvy,A chance to win.,noun,,,A2
פתאום,ft'vm,All of a sudden,adv,,,A2
טעות,t'vt,A mistake is a mistake.,noun,,,A2
יתר,ytr,The rest of us.,noun,,,A2
הסביר,hsvyr,Explain it to me.,verb,ס-ב-ר,HIFIL,A2
הפסיק,hfsyk,Stop it,verb,פ-ס-ק,HIFIL,A2
מבצע,mvtz',Operation  Operation,noun,,,A2
מחקר,mchkr,Research Research,noun,,,A2
סגן,sgn,Deputy,noun,,,A2
עמוד,'mvd,Page,noun,,,A2
קרן,krn,The radius,noun,,,A2
ראוי,r'vy,He deserves it.,adj,,,A2
שלישי,shlyshy,The third,propn,,,A2
תקווה,tkvvh,There is hope.,noun,,,A2
חוקי,chvky,Legal and legal.,adj,,,A2
יא,y',"Yes, it does.",propn,,,A2
למטה,lmth,Down below.,adv,,,A2
מסוים,msvym,A particular one,adj,,,A2
מעשה,m'shh,action action action.,noun,,,A2
עשוי,'shvy,Made of,adj,,,A2
פרשה,frshh,This is the first episode.,noun,,,A2
ציבור,tzyvvr,public public public,noun,,,A2
רעיון,r'yvn,An idea An idea,noun,,,A2
רקע,rk',Background,noun,,,A2
שכר,shchr,Wages and salaries.,noun,,,A2
שנייה,shnyyh,Seconds Seconds,noun,,,A2
ביטוי,vytvy,The expression,noun,,,A2
חבל,chvl,It's a shame,adv,,,A2
חיה,chyh,An animal is an animal.,verb,ח-י-ה,PAAL,A2
חיל,chyl,The army.,noun,,,A2
טיפול,tyfvl,Treatment Treatment,noun,,,A2
לאט,l't,Slowly and steadily.,adv,,,A2
לאן,l'n,Where to go.,adv,,,A2
פעל,f'l,Take action,verb,פ-ע-ל,PAAL,A2
מוזר,mvzr,It's weird.,adj,,,A2
מושלם,mvshlm,Perfectly perfect Perfectly perfect,adj,,,A2
מצחיק,mtzchyk,It's funny.,adj,,,A2
סמוך,smvch,Nearby,adj,,,A2
עברית,'vryt,Hebrew,propn,,,A2
עסק,'sk,Business is business.,noun,,,A2
צבא,tzv',The army is an army.,noun,,,A2
צד,tzd,Side by side.,noun,,,A2
