word,level,language,source
dein-,A1,de,Goethe
denn,A1,de,Goethe
dich,A1,de,Goethe
dies-,A1,de,Goethe
dir,A1,de,Goethe
dort,A1,de,Goethe
draußen,A1,de,Goethe
drucken,A1,de,Goethe
drücken,A1,de,Goethe
durch,A1,de,Goethe
dürfen,A1,de,Goethe
eilig,A1,de,Goethe
ein-,A1,de,Goethe
einfach,A1,de,Goethe
einkaufen,A1,de,Goethe
einladen,A1,de,Goethe
einmal,A1,de,Goethe
einsteigen,A1,de,Goethe
empfehlen,A1,de,Goethe
enden,A1,de,Goethe
entschuldigen,A1,de,Goethe
er,A1,de,Goethe
erklären,A1,de,Goethe
erlauben,A1,de,Goethe
erzählen,A1,de,Goethe
essen,A1,de,Goethe
euer,A1,de,Goethe
fahren,A1,de,Goethe
falsch,A1,de,Goethe
Feier-,A1,de,Goethe
feiern,A1,de,Goethe
fehlen,A1,de,Goethe
fernsehen,A1,de,Goethe
fertig,A1,de,Goethe
finden,A1,de,Goethe
fliegen,A1,de,Goethe
abfliegen,A1,de,Goethe
fragen,A1,de,Goethe
frei,A1,de,Goethe
fremd,A1,de,Goethe
früher,A1,de,Goethe
frühstücken,A1,de,Goethe
für,A1,de,Goethe
geben,A1,de,Goethe
geboren,A1,de,Goethe
gefallen,A1,de,Goethe
gegen,A1,de,Goethe
gehen,A1,de,Goethe
gehören,A1,de,Goethe
gerade,A1,de,Goethe
geradeaus,A1,de,Goethe
gestern,A1,de,Goethe
gestorben,A1,de,Goethe
gewinnen,A1,de,Goethe
glauben,A1,de,Goethe
gleich,A1,de,Goethe
glücklich,A1,de,Goethe
Grad,A1,de,Goethe
gratulieren,A1,de,Goethe
grillen,A1,de,Goethe
groß,A1,de,Goethe
gültig,A1,de,Goethe
günstig,A1,de,Goethe
gut,A1,de,Goethe
haben,A1,de,Goethe
hallo,A1,de,Goethe
halten,A1,de,Goethe
heiraten,A1,de,Goethe
heißen,A1,de,Goethe
helfen,A1,de,Goethe
hell,A1,de,Goethe
herzlich,A1,de,Goethe
hier,A1,de,Goethe
hinten,A1,de,Goethe
hoch,A1,de,Goethe
holen,A1,de,Goethe
hören,A1,de,Goethe
ich,A1,de,Goethe
immer,A1,de,Goethe
international,A1,de,Goethe
ja,A1,de,Goethe
jed-,A1,de,Goethe
jetzt,A1,de,Goethe
jung,A1,de,Goethe
kaputt,A1,de,Goethe
kaufen,A1,de,Goethe
kein,A1,de,Goethe
kennen,A1,de,Goethe
kennenlernen,A1,de,Goethe
klar,A1,de,Goethe
klein,A1,de,Goethe
kochen,A1,de,Goethe
kommen,A1,de,Goethe
können,A1,de,Goethe
kosten,A1,de,Goethe
krank,A1,de,Goethe
kriegen,A1,de,Goethe
kulturell,A1,de,Goethe
kurz,A1,de,Goethe
lachen,A1,de,Goethe
lang,A1,de,Goethe
lange,A1,de,Goethe
langsam,A1,de,Goethe
laufen,A1,de,Goethe
laut,A1,de,Goethe
leben,A1,de,Goethe
mittel,A1,de,Goethe
ledig,A1,de,Goethe
legen,A1,de,Goethe
leicht,A1,de,Goethe
leider,A1,de,Goethe
leise,A1,de,Goethe
lernen,A1,de,Goethe
lesen,A1,de,Goethe
letzt-,A1,de,Goethe
lieb-,A1,de,Goethe
lieben,A1,de,Goethe
lieber,A1,de,Goethe
Lieblings-,A1,de,Goethe
liegen,A1,de,Goethe
links,A1,de,Goethe
lustig,A1,de,Goethe
machen,A1,de,Goethe
man,A1,de,Goethe
männlich,A1,de,Goethe
mehr,A1,de,Goethe
mein,A1,de,Goethe
meist-,A1,de,Goethe
mieten,A1,de,Goethe
mit,A1,de,Goethe
mitbringen,A1,de,Goethe
mitkommen,A1,de,Goethe
mitmachen,A1,de,Goethe
mitnehmen,A1,de,Goethe
möchten,A1,de,Goethe
mögen,A1,de,Goethe
möglich,A1,de,Goethe
morgen,A1,de,Goethe
müde,A1,de,Goethe
müssen,A1,de,Goethe
nach,A1,de,Goethe
nächst-,A1,de,Goethe
nehmen,A1,de,Goethe
nein,A1,de,Goethe
neu,A1,de,Goethe
nicht,A1,de,Goethe
nichts,A1,de,Goethe
nie,A1,de,Goethe
noch,A1,de,Goethe
normal,A1,de,Goethe
nur,A1,de,Goethe
oben,A1,de,Goethe
oder,A1,de,Goethe
öffnen,A1,de,Goethe
geöffnet,A1,de,Goethe
oft,A1,de,Goethe
ohne,A1,de,Goethe
pünktlich,A1,de,Goethe
Rad,A1,de,Goethe
rauchen,A1,de,Goethe
rechts,A1,de,Goethe
regnen,A1,de,Goethe
reisen,A1,de,Goethe
reparieren,A1,de,Goethe
richtig,A1,de,Goethe
riechen,A1,de,Goethe
ruhig,A1,de,Goethe
sagen,A1,de,Goethe
Satz,A1,de,Goethe
scheinen,A1,de,Goethe
schicken,A1,de,Goethe
schlafen,A1,de,Goethe
schlecht,A1,de,Goethe
schließen,A1,de,Goethe
geschlossen,A1,de,Goethe
schmecken,A1,de,Goethe
schnell,A1,de,Goethe
schon,A1,de,Goethe
schön,A1,de,Goethe
schreiben,A1,de,Goethe
schwer,A1,de,Goethe
schwimmen,A1,de,Goethe
sehen,A1,de,Goethe
sehr,A1,de,Goethe
sein,A1,de,Goethe
weg,A1,de,Goethe
zu,A1,de,Goethe
seit,A1,de,Goethe
selbstständig,A1,de,Goethe
sitzen,A1,de,Goethe
so,A1,de,Goethe
sollen,A1,de,Goethe
spät,A1,de,Goethe
später,A1,de,Goethe
spielen,A1,de,Goethe
sprechen,A1,de,Goethe
stehen,A1,de,Goethe
stellen,A1,de,Goethe
studieren,A1,de,Goethe
suchen,A1,de,Goethe
tanzen,A1,de,Goethe
telefonieren,A1,de,Goethe
teuer,A1,de,Goethe
tot,A1,de,Goethe
trinken,A1,de,Goethe
tschüss,A1,de,Goethe
tun,A1,de,Goethe
über,A1,de,Goethe
übernachten,A1,de,Goethe
überweisen,A1,de,Goethe
um,A1,de,Goethe
umziehen,A1,de,Goethe
und,A1,de,Goethe
unser-,A1,de,Goethe
unten,A1,de,Goethe
unter,A1,de,Goethe
unterschreiben,A1,de,Goethe
verboten,A1,de,Goethe
verdienen,A1,de,Goethe
verheiratet,A1,de,Goethe
verkaufen,A1,de,Goethe
vermieten,A1,de,Goethe
verstehen,A1,de,Goethe
viel,A1,de,Goethe
vielleicht,A1,de,Goethe
von,A1,de,Goethe
vor,A1,de,Goethe
wandern,A1,de,Goethe
wann,A1,de,Goethe
warten,A1,de,Goethe
warum,A1,de,Goethe
was,A1,de,Goethe
weh,A1,de,Goethe
weiblich,A1,de,Goethe
weit,A1,de,Goethe
weiter,A1,de,Goethe
welch-,A1,de,Goethe
wenig,A1,de,Goethe
wer,A1,de,Goethe
werden,A1,de,Goethe
wichtig,A1,de,Goethe
wie,A1,de,Goethe
wiederholen,A1,de,Goethe
willkommen,A1,de,Goethe
wir,A1,de,Goethe
wissen,A1,de,Goethe
wo,A1,de,Goethe
woher,A1,de,Goethe
wohin,A1,de,Goethe
wollen,A1,de,Goethe
wunderbar,A1,de,Goethe
zurzeit,A1,de,Goethe
zufrieden,A1,de,Goethe
zurück,A1,de,Goethe
zusammen,A1,de,Goethe
zwischen,A1,de,Goethe
LITerATur,A1,de,Goethe
ALTE,A1,de,Goethe
Hg,A1,de,Goethe
Gemeinsamer,A1,de,Goethe
urteilen,A1,de,Goethe
sche,A1,de,Goethe
Schweizerischen,A1,de,Goethe
tur,A1,de,Goethe
Langenscheidt,A1,de,Goethe
Profile,A1,de,Goethe
nikative,A1,de,Goethe
europäischen,A1,de,Goethe
Müller,A1,de,Goethe
scheidt,A1,de,Goethe
Waystage,A1,de,Goethe
objective,A1,de,Goethe
modern,A1,de,Goethe
ation,A1,de,Goethe
DEUTSCHPRÜFUNG,A2,de,Goethe
JUGENDLICHE,A2,de,Goethe
Zertifiziert,A2,de,Goethe
IMPRESSUM,A2,de,Goethe
Diese,A2,de,Goethe
Gesamtkoordination,A2,de,Goethe
Michaela,A2,de,Goethe
Projektmitarbeiterinnen,A2,de,Goethe
Doris,A2,de,Goethe
Beratung,A2,de,Goethe
Manuela,A2,de,Goethe
Franziska,A2,de,Goethe
Plisch,A2,de,Goethe
ISBN,A2,de,Goethe
Jede,A2,de,Goethe
vorherigen,A2,de,Goethe
Hinweis,A2,de,Goethe
Einwilligung,A2,de,Goethe
Dies,A2,de,Goethe
Eingetragene,A2,de,Goethe
Markeninhabers,A2,de,Goethe
beachten,A2,de,Goethe
Herausgeber,A2,de,Goethe
Bereich,A2,de,Goethe
Dachauer,A2,de,Goethe
Gestaltung,A2,de,Goethe
Wortgruppen,A2,de,Goethe
Abkürzungen,A2,de,Goethe
Anweisungssprache,A2,de,Goethe
Berufe,A2,de,Goethe
Familienmitglieder,A2,de,Goethe
Familienstand,A2,de,Goethe
Farben,A2,de,Goethe
Himmelsrichtungen,A2,de,Goethe
Länder,A2,de,Goethe
Schule,A2,de,Goethe
Währungen,A2,de,Goethe
Zeitangaben,A2,de,Goethe
Datum,A2,de,Goethe
Feiertage,A2,de,Goethe
Jahreszeiten,A2,de,Goethe
Monate,A2,de,Goethe
Tageszeiten,A2,de,Goethe
Uhrzeit,A2,de,Goethe
Wochentage,A2,de,Goethe
Zeitmaße,A2,de,Goethe
Zahlen,A2,de,Goethe
Alphabetischer,A2,de,Goethe
Es,A2,de,Goethe
für,A2,de,Goethe
Verlag,A2,de,Goethe
europäischen,A2,de,Goethe
licht,A2,de,Goethe
schatzes,A2,de,Goethe
Besuch,A2,de,Goethe
sche,A2,de,Goethe
Ausdrücke,A2,de,Goethe
Bearbeiten,A2,de,Goethe
Verständnis,A2,de,Goethe
Standardvarianten,A2,de,Goethe
nicht,A2,de,Goethe
Wortes,A2,de,Goethe
lichen,A2,de,Goethe
Einige,A2,de,Goethe
alphabetischen,A2,de,Goethe
Wörter,A2,de,Goethe
gruppen,A2,de,Goethe
Auf,A2,de,Goethe
verzichtet,A2,de,Goethe
beispielsweise,A2,de,Goethe
ßen,A2,de,Goethe
Wir,A2,de,Goethe
ca,A2,de,Goethe
ICE,A2,de,Goethe
Lkw,A2,de,Goethe
PC,A2,de,Goethe
SMS,A2,de,Goethe
usw,A2,de,Goethe
WC,A2,de,Goethe
Bruder,A2,de,Goethe
Cousin,A2,de,Goethe
Cousine,A2,de,Goethe
Eltern,A2,de,Goethe
Enkelin,A2,de,Goethe
Geschwister,A2,de,Goethe
Großeltern,A2,de,Goethe
Großmutter,A2,de,Goethe
Großvater,A2,de,Goethe
Kind,A2,de,Goethe
Mutter,A2,de,Goethe
Onkel,A2,de,Goethe
Schwester,A2,de,Goethe
Sohn,A2,de,Goethe
Tante,A2,de,Goethe
Tochter,A2,de,Goethe
Vater,A2,de,Goethe
Verwandte,A2,de,Goethe
Deutschland,A2,de,Goethe
Deutsche,A2,de,Goethe
deutsch,A2,de,Goethe
Österreich,A2,de,Goethe
Österreicher,A2,de,Goethe
österreichisch,A2,de,Goethe
Schweizer,A2,de,Goethe
schweizerisch,A2,de,Goethe
Luxemburg,A2,de,Goethe
Luxemburger,A2,de,Goethe
nen,A2,de,Goethe
luxemburgisch,A2,de,Goethe
Europa,A2,de,Goethe
Europäer,A2,de,Goethe
europäisch,A2,de,Goethe
Heute,A2,de,Goethe
Berlin,A2,de,Goethe
Karneval,A2,de,Goethe
Ostern,A2,de,Goethe
Weihnachten,A2,de,Goethe
Frühling,A2,de,Goethe
Sommer,A2,de,Goethe
Herbst,A2,de,Goethe
Winter,A2,de,Goethe
am,A2,de,Goethe
montags,A2,de,Goethe
dienstags,A2,de,Goethe
mittwochs,A2,de,Goethe
donnerstags,A2,de,Goethe
freitags,A2,de,Goethe
samstags,A2,de,Goethe
sonntags,A2,de,Goethe
Feiertag,A2,de,Goethe
Sekunde,A2,de,Goethe
Minute,A2,de,Goethe
Stunde,A2,de,Goethe
Woche,A2,de,Goethe
Jahr,A2,de,Goethe
ab,A2,de,Goethe
aber,A2,de,Goethe
ich,A2,de,Goethe
damit,A2,de,Goethe
abgeben,A2,de,Goethe
gibt,A2,de,Goethe
hat,A2,de,Goethe
abholen,A2,de,Goethe
abschließen,A2,de,Goethe
schließt,A2,de,Goethe
Achtung,A2,de,Goethe
fährt,A2,de,Goethe
hast,A2,de,Goethe
Wie,A2,de,Goethe
aktiv,A2,de,Goethe
aktuell,A2,de,Goethe
all-,A2,de,Goethe
Möchten,A2,de,Goethe
alles,A2,de,Goethe
Sind,A2,de,Goethe
Alle,A2,de,Goethe
allein,A2,de,Goethe
Soll,A2,de,Goethe
als,A2,de,Goethe
Sie,A2,de,Goethe
also,A2,de,Goethe
Er,A2,de,Goethe
alt,A2,de,Goethe
Mein,A2,de,Goethe
Köln,A2,de,Goethe
Nach,A2,de,Goethe
an,A2,de,Goethe
anbieten,A2,de,Goethe
bietet,A2,de,Goethe
arbeiten,A2,de,Goethe
Krankenhaus,A2,de,Goethe
arbeitslos,A2,de,Goethe
ärgern,A2,de,Goethe
ärgert,A2,de,Goethe
arm,A2,de,Goethe
gelesen,A2,de,Goethe
auch,A2,de,Goethe
Maria,A2,de,Goethe
Meine,A2,de,Goethe
keinen,A2,de,Goethe
langweilig,A2,de,Goethe
aufhören,A2,de,Goethe
hört,A2,de,Goethe
aufmachen,A2,de,Goethe
macht,A2,de,Goethe
aufpassen,A2,de,Goethe
passt,A2,de,Goethe
aufräumen,A2,de,Goethe
räumt,A2,de,Goethe
aufregend,A2,de,Goethe
aufstehen,A2,de,Goethe
steht,A2,de,Goethe
ist,A2,de,Goethe
automatisch,A2,de,Goethe
backen,A2,de,Goethe
baden,A2,de,Goethe
bald,A2,de,Goethe
bar,A2,de,Goethe
basteln,A2,de,Goethe
bauen,A2,de,Goethe
beantworten,A2,de,Goethe
beantwortet,A2,de,Goethe
bedanken,A2,de,Goethe
bedankt,A2,de,Goethe
bedeuten,A2,de,Goethe
bedeutet,A2,de,Goethe
beeilen,A2,de,Goethe
beeilt,A2,de,Goethe
besichtigen,A2,de,Goethe
besichtigt,A2,de,Goethe
besonders,A2,de,Goethe
bestätigen,A2,de,Goethe
bestätigt,A2,de,Goethe
bestehen,A2,de,Goethe
besteht,A2,de,Goethe
bestellen,A2,de,Goethe
bestellt,A2,de,Goethe
besuchen,A2,de,Goethe
besucht,A2,de,Goethe
bewerben,A2,de,Goethe
bewirbt,A2,de,Goethe
bewölkt,A2,de,Goethe
bezahlen,A2,de,Goethe
bezahlt,A2,de,Goethe
billig,A2,de,Goethe
bis,A2,de,Goethe
bisschen,A2,de,Goethe
bitte,A2,de,Goethe
bitten,A2,de,Goethe
bittet,A2,de,Goethe
bitter,A2,de,Goethe
chatten,A2,de,Goethe
chattet,A2,de,Goethe
Klub,A2,de,Goethe
da,A2,de,Goethe
darüber,A2,de,Goethe
dabei,A2,de,Goethe
war,A2,de,Goethe
dagegen,A2,de,Goethe
damals,A2,de,Goethe
daneben,A2,de,Goethe
danke,A2,de,Goethe
danken,A2,de,Goethe
dann,A2,de,Goethe
dass,A2,de,Goethe
drucken,A2,de,Goethe
dumm,A2,de,Goethe
Entschuldigung,A2,de,Goethe
dunkel,A2,de,Goethe
dünn,A2,de,Goethe
schwer,A2,de,Goethe
durch,A2,de,Goethe
dürfen,A2,de,Goethe
durfte,A2,de,Goethe
duschen,A2,de,Goethe
duscht,A2,de,Goethe
echt,A2,de,Goethe
kommen,A2,de,Goethe
egal,A2,de,Goethe
Willst,A2,de,Goethe
eigen-,A2,de,Goethe
eigentlich,A2,de,Goethe
Kennst,A2,de,Goethe
eilig,A2,de,Goethe
einfach,A2,de,Goethe
Hin,A2,de,Goethe
Fahrt,A2,de,Goethe
einig-,A2,de,Goethe
einkaufen,A2,de,Goethe
kauft,A2,de,Goethe
erinnern,A2,de,Goethe
erinnert,A2,de,Goethe
erkältet,A2,de,Goethe
gewesen,A2,de,Goethe
erklären,A2,de,Goethe
erlauben,A2,de,Goethe
erlaubt,A2,de,Goethe
erreichen,A2,de,Goethe
erreicht,A2,de,Goethe
erst,A2,de,Goethe
erzählen,A2,de,Goethe
essen,A2,de,Goethe
etwas,A2,de,Goethe
fallen,A2,de,Goethe
fleißig,A2,de,Goethe
Hausaufgaben,A2,de,Goethe
fliegt,A2,de,Goethe
Diesen,A2,de,Goethe
um,A2,de,Goethe
müssen,A2,de,Goethe
fotografieren,A2,de,Goethe
fotografiert,A2,de,Goethe
fragen,A2,de,Goethe
Guten,A2,de,Goethe
Hier,A2,de,Goethe
frei,A2,de,Goethe
Morgen,A2,de,Goethe
Eintritt,A2,de,Goethe
freiwillig,A2,de,Goethe
fremd,A2,de,Goethe
freuen,A2,de,Goethe
bekommen,A2,de,Goethe
freut,A2,de,Goethe
Fußball,A2,de,Goethe
freundlich,A2,de,Goethe
Mit,A2,de,Goethe
frisch,A2,de,Goethe
froh,A2,de,Goethe
Frohes,A2,de,Goethe
früh,A2,de,Goethe
gegenüber,A2,de,Goethe
gehen,A2,de,Goethe
Nimmst,A2,de,Goethe
zu,A2,de,Goethe
gehören,A2,de,Goethe
Kannst,A2,de,Goethe
Tomaten,A2,de,Goethe
genau,A2,de,Goethe
Ja,A2,de,Goethe
genug,A2,de,Goethe
ein,A2,de,Goethe
gerade,A2,de,Goethe
Was,A2,de,Goethe
geradeaus,A2,de,Goethe
gern,A2,de,Goethe
Paul,A2,de,Goethe
fünf,A2,de,Goethe
gestern,A2,de,Goethe
gesund,A2,de,Goethe
Sg,A2,de,Goethe
Wo,A2,de,Goethe
hallo,A2,de,Goethe
halten,A2,de,Goethe
hängen,A2,de,Goethe
gehängt,A2,de,Goethe
gehangen,A2,de,Goethe
hart,A2,de,Goethe
hässlich,A2,de,Goethe
und,A2,de,Goethe
Jetzt,A2,de,Goethe
Heimat,A2,de,Goethe
heiraten,A2,de,Goethe
heiß,A2,de,Goethe
Mir,A2,de,Goethe
heißen,A2,de,Goethe
helfen,A2,de,Goethe
hell,A2,de,Goethe
Haben,A2,de,Goethe
Woher,A2,de,Goethe
so,A2,de,Goethe
immer,A2,de,Goethe
in,A2,de,Goethe
Frau,A2,de,Goethe
Komm,A2,de,Goethe
Wenn,A2,de,Goethe
informieren,A2,de,Goethe
sich,A2,de,Goethe
informiert,A2,de,Goethe
machen,A2,de,Goethe
Rügen,A2,de,Goethe
intelligent,A2,de,Goethe
Reisen,A2,de,Goethe
interessieren,A2,de,Goethe
interessiert,A2,de,Goethe
interessant,A2,de,Goethe
international,A2,de,Goethe
aus,A2,de,Goethe
Du,A2,de,Goethe
spielen,A2,de,Goethe
deinem,A2,de,Goethe
jeder,A2,de,Goethe
Jedes,A2,de,Goethe
jemand,A2,de,Goethe
joggen,A2,de,Goethe
herberge,A2,de,Goethe
klappen,A2,de,Goethe
geklappt,A2,de,Goethe
klar,A2,de,Goethe
klein,A2,de,Goethe
Unsere,A2,de,Goethe
Jahre,A2,de,Goethe
klug,A2,de,Goethe
Lisa,A2,de,Goethe
kochen,A2,de,Goethe
komisch,A2,de,Goethe
Eine,A2,de,Goethe
können,A2,de,Goethe
konnte,A2,de,Goethe
schnellsten,A2,de,Goethe
Kann,A2,de,Goethe
Konto,A2,de,Goethe
kontrollieren,A2,de,Goethe
kontrolliert,A2,de,Goethe
Gepäck,A2,de,Goethe
tun,A2,de,Goethe
kosten,A2,de,Goethe
lang,A2,de,Goethe
lange,A2,de,Goethe
langsam,A2,de,Goethe
lassen,A2,de,Goethe
laufen,A2,de,Goethe
laut,A2,de,Goethe
leben,A2,de,Goethe
mittel,A2,de,Goethe
leer,A2,de,Goethe
legen,A2,de,Goethe
leicht,A2,de,Goethe
leider,A2,de,Goethe
tut,A2,de,Goethe
leihen,A2,de,Goethe
leise,A2,de,Goethe
lernen,A2,de,Goethe
lesen,A2,de,Goethe
letzt-,A2,de,Goethe
lieb-,A2,de,Goethe
lieben,A2,de,Goethe
Lieblings-,A2,de,Goethe
liefern,A2,de,Goethe
liegen,A2,de,Goethe
meistens,A2,de,Goethe
merken,A2,de,Goethe
mieten,A2,de,Goethe
mindestens,A2,de,Goethe
wasser,A2,de,Goethe
telefon,A2,de,Goethe
mochte,A2,de,Goethe
mögen,A2,de,Goethe
möglich,A2,de,Goethe
nein,A2,de,Goethe
Fährst,A2,de,Goethe
keine,A2,de,Goethe
nennen,A2,de,Goethe
nervös,A2,de,Goethe
nett,A2,de,Goethe
Vielen,A2,de,Goethe
neu,A2,de,Goethe
Zeig,A2,de,Goethe
nichts,A2,de,Goethe
nie,A2,de,Goethe
niemand,A2,de,Goethe
nirgends,A2,de,Goethe
noch,A2,de,Goethe
normal,A2,de,Goethe
notieren,A2,de,Goethe
notwendig,A2,de,Goethe
Welche,A2,de,Goethe
nur,A2,de,Goethe
nützlich,A2,de,Goethe
oben,A2,de,Goethe
oder,A2,de,Goethe
Entweder,A2,de,Goethe
planen,A2,de,Goethe
plötzlich,A2,de,Goethe
Pl,A2,de,Goethe
zahl,A2,de,Goethe
praktisch,A2,de,Goethe
preiswert,A2,de,Goethe
privat,A2,de,Goethe
pro,A2,de,Goethe
probieren,A2,de,Goethe
probiert,A2,de,Goethe
reiten,A2,de,Goethe
renovieren,A2,de,Goethe
renoviert,A2,de,Goethe
de,A2,de,Goethe
reparieren,A2,de,Goethe
repariert,A2,de,Goethe
reservieren,A2,de,Goethe
reserviert,A2,de,Goethe
reservierte,A2,de,Goethe
richtig,A2,de,Goethe
riechen,A2,de,Goethe
romantisch,A2,de,Goethe
rufen,A2,de,Goethe
ruhig,A2,de,Goethe
schlecht,A2,de,Goethe
schließen,A2,de,Goethe
schlimm,A2,de,Goethe
Neuschwanstein,A2,de,Goethe
schmecken,A2,de,Goethe
schmeckt,A2,de,Goethe
schmutzig,A2,de,Goethe
schneiden,A2,de,Goethe
schneidet,A2,de,Goethe
schneien,A2,de,Goethe
schneit,A2,de,Goethe
schnell,A2,de,Goethe
schon,A2,de,Goethe
schön,A2,de,Goethe
Legst,A2,de,Goethe
schrecklich,A2,de,Goethe
schreiben,A2,de,Goethe
schreibt,A2,de,Goethe
schriftlich,A2,de,Goethe
sicher,A2,de,Goethe
singen,A2,de,Goethe
sitzen,A2,de,Goethe
Fahren,A2,de,Goethe
sofort,A2,de,Goethe
sogar,A2,de,Goethe
sollen,A2,de,Goethe
sollte,A2,de,Goethe
im,A2,de,Goethe
sonnig,A2,de,Goethe
sonst,A2,de,Goethe
Beeil,A2,de,Goethe
spannend,A2,de,Goethe
sparen,A2,de,Goethe
Spaß,A2,de,Goethe
Viel,A2,de,Goethe
spät,A2,de,Goethe
später,A2,de,Goethe
spazieren,A2,de,Goethe
geht,A2,de,Goethe
gang,A2,de,Goethe
speichern,A2,de,Goethe
speichert,A2,de,Goethe
Speisekarte,A2,de,Goethe
Monopoly,A2,de,Goethe
streng,A2,de,Goethe
stressig,A2,de,Goethe
studieren,A2,de,Goethe
studiert,A2,de,Goethe
suchen,A2,de,Goethe
super,A2,de,Goethe
surfen,A2,de,Goethe
süß,A2,de,Goethe
sympathisch,A2,de,Goethe
tanzen,A2,de,Goethe
tauscht,A2,de,Goethe
teilen,A2,de,Goethe
trifft,A2,de,Goethe
trinken,A2,de,Goethe
trocken,A2,de,Goethe
tschüs,A2,de,Goethe
typisch,A2,de,Goethe
üben,A2,de,Goethe
über,A2,de,Goethe
überall,A2,de,Goethe
